parent_asin,product_type,title,average_rating,rating_number,price,store,categories,features,description
B07D9VTQHP,laptop,"Acer C720P Chromebook (11.6-Inch Touchscreen, 2GB) Moonstone White (Renewed)",3.7,34,,Amazon Renewed,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""Intel Celeron Processor 1.4GHz, 2GB RAM, 32GB eMMC"", ""11.6\"" HD (1366 x 768) Widescreen LED-backlit Touchscreen"", ""2x USB Ports, 1x HDMI, 1x SD Card Reader"", ""802.11a/b/g/ Wireless LAN and Bluetooth 4.0"", ""Chrome OS""]","[""Product works and looks like new. Backed by the 90-day Amazon Renewed Guarantee. - This pre-owned product has been professionally inspected, tested and cleaned by Amazon-qualified suppliers. - There will be no visible cosmetic imperfections when held at an arm’s length. - Products with batteries will exceed 80% capacity relative to new. - Accessories may not be original, but will be compatible and fully functional. Product may come in generic box. - This product is eligible for a replacement or refund within 90 days of receipt if you are not satisfied under the Amazon Renewed Guarantee.""]"
B07JBRHJC4,laptop,"Lenovo Flex 6 2-in-1 Laptop, 14in FHD (1920x1080) IPS Touchscreen, Intel Core i3-8130U, 128GB SSD, 8GB DDR4, Webcam, Windows 10 (Renewed)",3.6,48,,Amazon Renewed,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""2 in 1 Laptops""]","[""OS : Windows 10""]",[]
B07CKGKQD2,laptop,"Lenovo IdeaPad U430 Touch Ultrabook 14-Inch Touch-Screen Laptop, (Intel Core i7-4500U Processor, 4GB Memory, 500GB Hard Drive)",3.5,98,499.0,Lenovo,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""4th Gen Intel Core i7-4500U mobile processor"", ""4GB system memory， 500GB hard drive"", ""14\"" HD+ 10-point multitouch screen, 2-in-1 hybrid hard drive provides both size and speed"", ""Intel HD Graphics 4400, built-in stereo speaker, bluetooth, HDMI, USB3.0""]","[""14\"" HD+ (1600 x 900) 10-point multitouch screen"", ""4th Gen Intel Core i7-4500U mobile processor"", ""4GB system memory for advanced multitasking"", ""2-in-1 hybrid hard drive (500GB hard drive at 5400 rpm with an 8GB solid state drive as a cache) provides both size and speed"", ""Note: This laptop does not include a built-in DVD/CD drive"", ""Intel Wireless Display (WiDi) wirelessly transmits content to your HDTV"", ""Weighs 4.2 lbs. and measures 0.8\"" thin"", ""Long battery life (up to 5 hours and 27 minutes) gives you more time away from an outlet"", ""Dragon voice recognition capability"", ""Bluetooth 4.0 interface syncs with compatible devices"", ""1 USB 3.0 port maximizes the latest high-speed devices"", ""HDMI output expands your viewing options"", ""Built-in media reader for simple photo transfer"", ""Wireless and wired network connectivity"", ""Microsoft Windows 8 operating system"", ""Built-in HD webcam and digital array microphone"", ""Lenovo Motion Control"", ""Buttonless touchpad""]"
B01IVKXYA8,laptop,iRULU W2 2-in-1 Laptop (W20- White),3.1,166,,iRULU,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""12.5 inch screen size, only 0.8 inch thin, just over 2 pounds, makes it easy to slip into a backpack or brief case to bring everywhere with you,makes life on-the-go easy."", ""180 degree hinge design which is ideal for easy viewing, 1366*768 HD anti-glare widescreen display, gives you lifelike and vivid visuals even in the sun."", ""Latest and improved 64-bit Intel Cherry Trail Quad Core processor 1.44GHz standard voltage for full performance, has the power to present you smooth multitasking performance, makes you work efficiently."", ""4G DDR3 RAM and 32GB hard drive (Supported 128GB Max Micro SD Card) for balanced speed and storage capacity."", ""Lightning-fast 802.11b/g/n Wi-Fi keeps you connected through any congestion or interference.""]",[]
B0BH3BR8BJ,laptop,"HP Pavilion 2018 Newest Business Flagship Laptop PC 17.3"" HD Display 8th Gen Intel i5-8250U Quad-Core Processor 8GB DDR4 RAM+16GB Intel Optane Memory 1TB HDD Backlit-Keyboard Windows 10-Silver",4.0,114,,HP,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""Powerful Processor & Memory: 8th Generation Intel Core i5 Quad-Core processor with Maximum Turbo Speed3.4 GHz."", ""Stunning 17.3\"" LED backlighting offers high-definition graphics with up to 1600x900 resolution. LED backlighting provides a thinner, more energy-efficient screen."", ""8GB DDR4 SDRAM / 16 GB Intel Optane memory options Designed to run more efficiently and more reliably at faster speeds, DDR4 is the future of RAM. With its higher bandwidth, everything from multi-tasking to playing games gets a performance boost.Hard drive storage (1 TB) Don't worry about growing your collection of digital movies, songs, and pictures. With massive storage options you can save it all, and still have plenty of room left over."", ""Backlit-Keyboard. Wireless-AC (802.11ac) technology for cable-free networking. Gigabit Ethernet connection offers fast wired connectivity. Plays and burns CDs and DVDs. Digital media card reader transfers files from multiple formats."", ""Windows 10 Operating System: Feel-good style A blend of dual-tones, textures and finishes give this laptop a sharp, polished look—from the elevated keyboard to the bold design, every detail was crafted for comfort and style.Rock-solid connections: With the latest 802.11 a/c (2x2) WLAN adapter and Bluetooth 4.2, all your connections are rock solid and up to 6 times faster than 802.11n 1x1.""]","[""Processor and Memory"", ""Processor Type:8th Generation Intel Core i5-8250U Processor, quad-core"", ""Processor Speed:1.6 GHz base frequency, up to 3.4 GHz with Intel Turbo Boost Technology"", ""Cache:6MB Cache"", ""Memory (RAM):\""8 GB DDR4-2400 SDRAM (1 x 8 GB) 16 GB Intel Optane memory\"""", ""Maximum Memory Expansion:memory slot not accessible"", ""Hard Drive and Multimedia Drives"", ""Hard Drive:1TB 5400 RPM Serial ATA hard drive"", ""Optical Drive:DVD-Writer"", ""Multimedia Card Slot:Multi-Format Digital card reader"", ""Graphics and Audio"", ""Graphics:Intel UHD Graphics 620"", ""Audio:HD Audio with stereo speakers"", ""Display, Keyboard, Mouse, and Webcam"", ""Display Size:17.3\"" diagonal"", ""Display Type:HD+ SVA BrightView WLED-backlit Display"", ""Display Resolution:1600 x 900"", ""Keyboard:Full-size island-style backlit keyboard with numeric keypad"", ""Mouse:Touchpad supporting multi-touch gestures without on/off button"", ""Webcam:Front-facing HP TrueVision HD Webcam with integrated digital microphone"", ""Connectivity"", ""Ethernet:Integrated 10/100/1000 GbE LAN"", ""Wi-Fi:Intel 802.11b/g/n/ac (2x2) Wi-Fi"", ""Bluetooth:Bluetooth 4.2"", ""Modem:n/a"", ""Ports/Slots"", ""Ports:\""2 USB 3.1 Gen 1 (Data Transfer Only) 1 USB 2.0 1 HDMI 1 RJ-45 1 Headphone-out/microphone-in combo jack\"""", ""Expansion:n/a"", ""Power"", ""Battery Type:3-cell 41 WHr lithium-ion prismatic battery"", ""Typical Battery Life:\""Up to 9 hours and 15 minutes (mixed usage) Up to 8 hours and 45 minutes (video playback) Up to 5 hours and 15 minutes (wireless streaming)\"""", ""AC Adapter:45W AC adapter"", ""Software"", ""Operating System:Windows 10 Home""]"
B073S63FTG,laptop,"HP Probook 14” Laptop, Intel i5-4300M, 8GB RAM, 128GB Solid State Drive, Intel HD Graphics, Bluetooth, Windows 10 Pro, (Renewed)",3.5,60,383.0,Amazon Renewed,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""This Certified Refurbished product has been tested and certified to work and look like new, with minimal to no signs of wear, by a manufacturer or specialized third-party seller approved by Amazon. The product is backed by a minimum 90-day warranty, and may arrive in a generic brown or white box."", ""Maximum Memory: 16 GB""]","[""This Certified Refurbished product is manufacturer refurbished, shows limited or no wear, and includes all original accessories plus a 1 Year warranty""]"
B07BK2XLHV,laptop,"Microsoft Surface 1st Gen, 13.5"", Windows 10, Core M3, 4GB RAM, 128GB - Platinum",4.6,38,729.0,Microsoft,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""2 in 1 Laptops""]","[""Windows 10 SBuilt for Windows Ink; \n7th Gen Intel® Core m3-7Y30 processor; 13.5\"" display; 4GB memory; 128GB solid-state drive; Facial Recognition; backlit keyboard; Bluetooth; DVD/CD drive not included""]","[""Tackle tough tasks and pending projects with this Microsoft Surface laptop. Access to Windows Ink lets you jot notes or draw directly on the screen to capture your ideas, while the Alcantara keyboard features responsive keys and a large trackpad for effortless use during design and editing sessions. A 7th generation Intel Core processor delivers fast, efficient operation. Boasting Corning Gorilla Glass, this Microsoft Surface laptop is built to withstand everyday use.Learn more.""]"
B0BXG7ZY9K,laptop,"HP Newest 14"" HD Laptop, Intel Core i5-1035G1, Intel UHD Graphics, 8GB SDRAM, 256GB SSD, Natural Silver, Windows 10",4.2,63,404.99,HP,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""Intel Core i5-1035G1 quad-core processor with up to 3.6GHz speed and 6MB cache memory"", ""Internal storage: 256 GB PCIe NVM M.2 SSD"", ""Display: 14.0-inch diagonal HD, BrightView, micro-edge"", ""8GB DDR4-2666 SDRAM seamlessly handles multiple programs together with its higher bandwidth, everything from multitasking to playing games gets a performance boost"", ""Wireless: Realtek Wi-Fi 5 (2x2) and Bluetooth 5.0 combo""]","[""Specification: OPERATING SYSTEM: Windows 10 Home 64  PROCESSOR FAMILY: 10th Generation Intel Core i5 processor  PROCESSOR: Intel Core i5-1035G1 (1.0 GHz base frequency, up to 3.6 GHz with Intel Turbo Boost Technology, 6 MB L3 cache, 4 cores)  CHIPSET: Intel Integrated SoC  MEMORY: 8 GB DDR4-2666 SDRAM (1 x 8 GB) Transfer rates up to 2666 MT/s. 1 x 8 GB  HARD DRIVE: 256 GB PCIe NVMe M.2 SSD  OPTICAL DRIVE: Optical drive not included  CLOUD SERVICE: Dropbox  DISPLAY: 14\"" diagonal, HD (1366 x 768), micro-edge, BrightView, 220 nits, 45% NTSC  GRAPHICS: Integrated Intel UHD Graphics  PORTS: 1 USB 3.1 Gen 1 Type-C (Data Transfer Only, 5 Gb/s signaling rate); 2 USB 3.1 Gen 1 Type-A (Data Transfer Only); 1 AC smart pin; 1 HDMI 1.4b; 1 headphone/microphone combo  EXPANSION SLOTS: 1 multi-format SD media card reader  WEBCAM: HP True Vision 720p HD camera with integrated dual array digital microphones  AUDIO FEATURES: Dual speakers  KEYBOARD: Full-size, natural silver keyboard  POINTING DEVICE: Imagepad with multi-touch gesture support; Precision Touchpad Support  WIRELESS: Realtek 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 combo Miracast compatible; MU-MIMO supported  POWER SUPPLY TYPE: 45 W Smart AC power adapter  BATTERY TYPE: 3-cell, 41 Wh Li-ion  ENERGY EFFICIENCY: ENERGY STAR certified; EPEAT Silver registered  DIMENSIONS (W X D X H): 12.76 x 8.86 x 0.71 in) 32.4 x 22.5 x 1.79 cm  WEIGHT: 3.24 lb( 1.46 kg)  PRODUCT DESIGN: Vertical brushed pattern cover and base, In-mould roll keyboard frame  SOFTWARE INCLUDED: McAfee LiveSafe Netflix 1 month trial for new Microsoft 365 customers  PRODUCT COLOR: N""]"
B0BNVMHHVD,laptop,"ASUS [Windows 11 S] R410 14"" Lightweight Laptop, Intel Celeron N4020 Processor, 4GB DDR4 RAM, 192GB Storage (128GB eMMC + 64GB Flash Drive), 802.11AC WiFi, Bluetooth 4.1, Type-C, Star Black",4.3,51,,ASUS,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""Cne AcblI ASUS L410 14\"" thin and lightweight laptop powered with Intel Celeron Processor N4020 @ 1.10GHz (2 Cores, 4M Cache, up to 2.80 GHz)"", ""Dispaly: 14.0-inch, HD (1366 x 768) 16:9 aspect ratio, LED Backlit, 45% NTSC color gamut, Anti-glare display; Graphics: Intel UHD Graphics 600; VGA Webcam. Ideal for Home, Student, Professionals, Small Business, School Education, and Commercial Enterprise, Online Class, Google Classroom, Remote Learning, Zoom Ready."", ""Ram: 4GB DDR4 RAM for full-power multitasking; 192GB Storage (128GB eMMC + 64GB Flash Drive); no Optical Drive."", ""Wi-Fi 5(802.11ac)+ Bluetooth 4.1 (Dual band) 1*1; 1x HDMI, 1x 3.5mm Combo Audio Jack, 1x DC-in, 1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C."", ""Windows 11 Home in S Mode. Non-Backlit Chiclet Keyboard. Color: Star Black""]","[""Color"", ""Star Black"", ""Operating System"", ""Windows 11 Home in S Mode"", ""Processor"", ""Intel Celeron N4020 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)"", ""Graphics"", ""Intel UHD Graphics 600"", ""Display"", ""14.0-inch, HD (1366 x 768) 16:9 aspect ratio, LED Backlit, 45% NTSC color gamut, Anti-glare display"", ""Memory"", ""4GB DDR4"", ""Storage"", ""128GB eMMC"", ""I/O Ports"", ""1x USB 2.0 Type-A"", ""1x USB 3.2 Gen 1 Type-A"", ""1x USB 3.2 Gen 1 Type-C"", ""1x HDMI 1.4"", ""1x 3.5mm Combo Audio Jack"", ""Micro SD card reader"", ""Keyboard & Touchpad"", ""Non-Backlit Chiclet Keyboard"", ""Chiclet Keyboard"", ""1.4mm Key-travel"", ""Support NumberPad"", ""Camera"", ""VGA camera"", ""Audio"", ""SonicMaster"", ""Audio by ICEpower"", ""Built-in speaker"", ""Built-in microphone"", ""with Cortana support"", ""Network and Communication"", ""Wi-Fi 5(802.11ac)+Bluetooth 4.1 (Dual band) 1*1"", ""Battery"", ""42WHrs, 3S1P, 3-cell Li-ion"", ""Power Supply"", ""ø4.0, 33W AC Adapter, Output: 19V DC, 1.75A, 33W, Input: 100-240V AC 50/60Hz universal"", ""Weight"", ""1.30 kg (2.87 lbs)"", ""Dimensions (W x D x H)"", ""32.50 x 21.70 x 1.80 ~ 1.84 cm (12.80\"" x 8.54\"" x 0.71\"" ~ 0.72\"")""]"
B07BNXNHKS,laptop,"MSI GL73 8RD-031 Full HD Performance Gaming Laptop i7-8750H (6 cores) GTX 1050Ti 4G, 16GB 128GB + 1TB, 17.3""",3.6,20,,MSI,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""Display: 17.3\"" Full HD eDP Non Reflection 72% NTSC | Operating System: Win 10 Multi-language"", ""Processor: Core i7-8750H Hexa-Core (6 Cores) 3.9 - 4.1GHz"", ""Graphics: NVIDIA GeForce GTX1050Ti 4G GDDR5"", ""Memory (RAM): 16GB (8G*2) DDR4 2400MHz 2 Sockets; Max Memory 32GB | Storage: 128GB M.2 SATA + 1TB (5400RPM)"", ""Special Features: Black | Intel 9560 Jefferson Peak (2x2 802.11 ac) | QCA8171 | Steel Series Single backlight with Anti-Ghost key+ silver lining | USB 3.1 Gen 1 Type C *1""]","[""MSI GL73 8RD-031 17.3\"" Full HD Performance Gaming Laptop 8th Gen Intel Core i7-8750H (6 cores) GTX 1050Ti 4G, 16GB 128GB + 1TB HDD Black, Red Backlit KB.""]"
